yearID,teamID,W,G,R,RA,HR,H,SO,SV,attendance,ERA
2019,TOR,67,162,726,828,247,1299,1514.0,33,1750114.0,4.7926405924554505
2019,ARI,85,162,813,743,220,1419,1360.0,45,2135510.0,4.245051194539249
2019,ATL,97,162,855,743,249,1432,1467.0,44,2655100.0,4.200137867647059
2019,CHN,84,162,814,717,256,1378,1460.0,38,3094865.0,4.100554785020805
2019,CIN,75,162,701,711,227,1328,1436.0,46,1808685.0,4.180806675938804
2019,COL,71,162,835,958,224,1502,1503.0,28,2993244.0,5.578923147722043
2019,LAN,106,162,886,613,279,1414,1356.0,44,3974309.0,3.392898316808854
2019,MIA,57,162,615,808,146,1326,1469.0,27,811302.0,4.735748903761828
2019,MIL,89,162,769,766,250,1366,1563.0,50,2923333.0,4.403380539058931
2019,NYN,86,162,791,737,242,1445,1384.0,38,2442532.0,4.250513347022587
2019,PHI,81,162,774,794,215,1369,1453.0,36,2727421.0,4.531988076129328
2019,PIT,69,162,758,911,163,1497,1213.0,31,1491439.0,5.1875
2019,SDN,70,162,682,789,219,1281,1581.0,47,2396399.0,4.631983240223463
2019,SFN,77,162,678,773,167,1332,1435.0,41,2707760.0,4.380530973451328
2019,SLN,91,162,764,662,210,1336,1420.0,52,3480393.0,3.8206371191135733
2019,WAS,93,162,873,724,231,1460,1308.0,40,2259781.0,4.276980083371932
2020,BAL,25,60,274,294,77,523,514.0,11,0.0,4.5115681233933165
2020,BOS,24,60,292,351,81,552,545.0,14,0.0,5.5820610687022905
2020,CHA,35,60,306,246,96,534,571.0,13,0.0,3.8083491461100567
2020,CLE,35,60,248,209,59,446,517.0,20,0.0,3.291044776119403
2020,DET,23,58,249,318,62,463,567.0,11,0.0,5.630331753554502
2020,HOU,29,60,279,275,69,478,440.0,16,0.0,4.311068702290076
2020,KCA,26,60,248,272,68,485,527.0,19,0.0,4.299806576402321
2020,LAA,26,60,294,321,85,501,490.0,12,0.0,5.088197969543147
2020,MIN,36,60,269,215,91,468,528.0,17,0.0,3.576623376623376
2020,NYA,33,60,315,270,94,473,480.0,14,0.0,4.350199733688415
2020,OAK,36,60,274,232,71,430,524.0,17,0.0,3.7723156532988353
2020,SEA,27,60,254,303,60,435,545.0,15,0.0,5.034193548387097
2020,TBA,40,60,289,229,80,470,608.0,23,0.0,3.564750473783955
2020,TEX,22,60,224,312,62,420,548.0,10,0.0,5.016774193548388
2020,TOR,32,60,302,312,88,516,508.0,17,0.0,4.63151207115629
2020,ARI,25,60,269,295,58,482,461.0,13,0.0,4.844372990353698
2020,ATL,35,60,348,288,103,556,573.0,13,0.0,4.462809917355371
2020,CHN,34,60,265,240,74,422,568.0,16,0.0,3.993569131832797
2020,CIN,31,60,243,243,90,390,534.0,9,0.0,3.892857142857143
2020,COL,26,60,275,353,63,528,543.0,16,0.0,5.591513616212793
2020,LAN,43,60,349,213,118,523,471.0,15,0.0,3.024133663366337
2020,MIA,31,60,263,304,60,472,537.0,18,0.0,4.857142857142857
2020,MIL,29,60,247,264,75,429,582.0,14,0.0,4.175257731958762
2020,NYN,26,60,286,308,86,551,498.0,11,0.0,5.014285714285714
2020,PHI,28,60,306,311,82,500,480.0,11,0.0,5.197183098591549
2020,PIT,19,60,219,298,59,425,521.0,6,0.0,4.684210526315789
2020,SDN,37,60,325,241,95,506,479.0,13,0.0,3.8744394618834077
2020,SFN,29,60,299,297,81,532,499.0,13,0.0,4.641983258209916
2020,SLN,30,58,240,229,51,410,477.0,13,0.0,3.919661733615222
2020,WAS,26,60,293,301,66,519,451.0,12,0.0,5.092653871608206
2021,BAL,52,162,659,956,195,1296,1454.0,26,793229.0,5.848074179743224
2021,BOS,92,162,829,749,219,1434,1386.0,49,1725323.0,4.274841437632135
2021,CHA,93,162,796,636,190,1373,1389.0,43,1596385.0,3.726128266033254
2021,CLE,80,162,717,727,203,1269,1387.0,39,1114368.0,4.340198863636363
2021,DET,77,162,697,756,179,1299,1514.0,42,1102621.0,4.317210612819911
2021,HOU,95,162,863,658,221,1496,1222.0,34,2068509.0,3.7993079584775087
2021,KCA,74,162,686,788,163,1349,1258.0,37,1159613.0,4.641815616180621
2021,LAA,77,162,723,804,190,1331,1394.0,39,1515689.0,4.690973036342321
2021,MIN,73,162,729,834,228,1311,1405.0,42,1310199.0,4.8318459370596525
2021,NYA,92,162,711,669,222,1266,1482.0,47,1959854.0,3.762192289828147
2021,OAK,86,162,743,687,199,1284,1349.0,39,701430.0,4.019539427773901
2021,SEA,90,162,697,748,199,1209,1492.0,51,1215985.0,4.299004859986114
2021,TBA,100,162,857,651,222,1336,1542.0,42,761072.0,3.672544080604534
2021,TEX,60,162,625,815,167,1254,1381.0,31,2110258.0,4.802246665106483
2021,TOR,91,162,846,663,262,1455,1218.0,34,805901.0,3.9065464895635675
2021,ARI,52,162,679,893,144,1297,1465.0,22,1043010.0,5.149811853245532
2021,ATL,88,161,790,656,239,1307,1453.0,40,2300247.0,3.8917769376181472
2021,CHN,71,162,705,839,210,1255,1596.0,40,1978934.0,4.8801321378008495
2021,CIN,83,162,786,760,222,1352,1425.0,41,1505024.0,4.411108528933303
2021,COL,74,161,739,796,182,1338,1356.0,33,1938645.0,4.825340014316392
2021,LAN,106,162,830,561,237,1330,1408.0,56,2804693.0,3.03099173553719
2021,MIA,67,162,623,701,158,1244,1553.0,33,642617.0,3.956183745583039
2021,MIL,95,162,738,623,194,1251,1465.0,44,1824282.0,3.497214484679666
2021,NYN,77,162,636,668,176,1243,1392.0,41,1511926.0,3.8953600773320445
2021,PHI,82,162,734,745,198,1288,1402.0,36,1515890.0,4.390037593984962
2021,PIT,61,162,609,833,124,1261,1328.0,25,859498.0,5.079016471711626
2021,SDN,79,162,729,708,180,1305,1324.0,43,2191950.0,4.097202797202797
2021,SFN,107,162,804,594,241,1360,1461.0,56,1679484.0,3.247422680412371
2021,SLN,90,162,706,672,198,1303,1341.0,50,2102530.0,3.995059985885674
2021,WAS,65,162,724,820,182,1388,1303.0,36,1465543.0,4.821659096342338
2022,BAL,83,162,674,688,171,1281,1390.0,46,1368367.0,3.974651162790698
2022,BOS,78,162,735,787,155,1427,1373.0,39,2625089.0,4.534591194968553
2022,CHA,81,162,686,717,149,1435,1269.0,48,2009359.0,3.9352981809808885
2022,CLE,92,162,698,634,127,1410,1122.0,51,1295870.0,3.473901098901099
2022,DET,66,162,557,713,110,1240,1413.0,38,1575544.0,4.038271894810988
2022,HOU,106,162,737,518,214,1341,1179.0,53,2688998.0,2.8955258302583027
2022,KCA,65,162,640,810,138,1327,1287.0,33,1277686.0,4.716101694915254
2022,LAA,73,162,623,668,190,1265,1539.0,38,2457461.0,3.7863942419317387
2022,MIN,78,162,696,684,178,1356,1353.0,28,1801128.0,3.9832985386221296
