yearID,teamID,H,HR,BB,SO,AB,RBI,R,W,G
2019,LAN,1414,279,607,1356.0,5493,861.0,886,106,162
2019,MIA,1326,146,395,1469.0,5512,593.0,615,57,162
2019,MIL,1366,250,629,1563.0,5542,744.0,769,89,162
2019,MIN,1547,307,525,1334.0,5732,906.0,939,101,162
2019,NYA,1493,306,569,1437.0,5583,904.0,943,103,162
2019,NYN,1445,242,516,1384.0,5624,767.0,791,86,162
2019,OAK,1384,257,578,1338.0,5561,800.0,845,97,162
2019,PHI,1369,215,562,1453.0,5571,742.0,774,81,162
2019,PIT,1497,163,425,1213.0,5657,722.0,758,69,162
2019,SDN,1281,219,504,1581.0,5391,652.0,682,70,162
2019,SEA,1305,239,588,1581.0,5500,730.0,758,68,162
2019,SFN,1332,167,475,1435.0,5579,655.0,678,77,162
2019,SLN,1336,210,561,1420.0,5449,714.0,764,91,162
2019,TBA,1427,217,542,1493.0,5628,730.0,769,96,162
2019,TEX,1374,223,534,1578.0,5540,765.0,810,78,162
2019,TOR,1299,247,509,1514.0,5493,697.0,726,67,162
2019,WAS,1460,231,584,1308.0,5512,824.0,873,93,162
2020,ARI,482,58,181,461.0,1997,255.0,269,25,60
2020,ATL,556,103,239,573.0,2074,338.0,348,35,60
2020,BAL,523,77,164,514.0,2026,264.0,274,25,60
2020,BOS,552,81,187,545.0,2083,278.0,292,24,60
2020,CHA,534,96,179,571.0,2047,294.0,306,35,60
2020,CHN,422,74,229,568.0,1918,248.0,265,34,60
2020,CIN,390,90,239,534.0,1842,237.0,243,31,60
2020,CLE,446,59,239,517.0,1959,234.0,248,35,60
2020,COL,528,63,161,543.0,2057,264.0,275,26,60
2020,DET,463,62,147,567.0,1893,242.0,249,23,58
2020,HOU,478,69,192,440.0,1992,268.0,279,29,60
2020,KCA,485,68,172,527.0,1988,237.0,248,26,60
2020,LAA,501,85,239,490.0,2020,285.0,294,26,60
2020,LAN,523,118,228,471.0,2042,327.0,349,43,60
2020,MIA,472,60,191,537.0,1935,247.0,263,31,60
2020,MIL,429,75,221,582.0,1920,238.0,247,29,60
2020,MIN,468,91,186,528.0,1937,258.0,269,36,60
2020,NYA,473,94,251,480.0,1915,301.0,315,33,60
2020,NYN,551,86,197,498.0,2023,278.0,286,26,60
2020,OAK,430,71,238,524.0,1908,264.0,274,36,60
2020,PHI,500,82,229,480.0,1948,289.0,306,28,60
2020,PIT,425,59,167,521.0,1932,210.0,219,19,60
